authority,reason,imd_decile,number_of_bills,total_billed
Bath and North East Somerset,BFR,1,1,2.5
Bath and North East Somerset,BFR,2,5,3.6
Bath and North East Somerset,BFR,3,1,2.5
Bath and North East Somerset,BFR,5,4,8.5
Bath and North East Somerset,BFR,6,2,3.4
Bath and North East Somerset,BFR,7,2,3.2
Bath and North East Somerset,BFR,8,3,5.2
Bath and North East Somerset,BFR,9,1,0.1
Bath and North East Somerset,BFR,10,5,20.29
Bath and North East Somerset,CHARGE,1,25,43.6
Bath and North East Somerset,CHARGE,2,85,147.0
Bath and North East Somerset,CHARGE,3,608,1075.4
Bath and North East Somerset,CHARGE,4,494,925.4
Bath and North East Somerset,CHARGE,5,1936,3567.8
Bath and North East Somerset,CHARGE,6,528,977.8
Bath and North East Somerset,CHARGE,7,484,889.0
Bath and North East Somerset,CHARGE,8,1761,3241.4
Bath and North East Somerset,CHARGE,9,1284,2318.4
Bath and North East Somerset,CHARGE,10,2712,4947.6
Bath and North East Somerset,DAMAGE,1,1,9.99
Bath and North East Somerset,DAMAGE,2,1,5
Bath and North East Somerset,DAMAGE,5,5,26.99
Bath and North East Somerset,DAMAGE,6,2,11.99
Bath and North East Somerset,DAMAGE,8,5,38.97
Bath and North East Somerset,DAMAGE,9,3,10.0
Bath and North East Somerset,DAMAGE,10,7,40.93
Bath and North East Somerset,GROUP,5,1,1
Bath and North East Somerset,GROUP,7,11,55
Bath and North East Somerset,GROUP,9,10,50
Bath and North East Somerset,GROUP,10,3,15
Bath and North East Somerset,HOLD,2,30,232.5
Bath and North East Somerset,HOLD,3,3,35
Bath and North East Somerset,HOLD,4,1,25
Bath and North East Somerset,HOLD,5,34,111.5
Bath and North East Somerset,HOLD,6,2,50
Bath and North East Somerset,HOLD,7,29,77
Bath and North East Somerset,HOLD,8,47,185.5
Bath and North East Somerset,HOLD,9,28,236.5
Bath and North East Somerset,HOLD,10,50,460.0
Bath and North East Somerset,ILL,2,4,23
Bath and North East Somerset,LOST,1,2,4.99
Bath and North East Somerset,LOST,2,4,27.47
Bath and North East Somerset,LOST,3,4,33.48
Bath and North East Somerset,LOST,4,9,45.97
Bath and North East Somerset,LOST,5,26,161.48
Bath and North East Somerset,LOST,6,6,24
Bath and North East Somerset,LOST,7,8,15.1
Bath and North East Somerset,LOST,8,25,156.89
Bath and North East Somerset,LOST,9,26,134.86
Bath and North East Somerset,LOST,10,49,345.23
Bath and North East Somerset,LOSTCARD,1,1,2
Bath and North East Somerset,LOSTCARD,2,5,10
Bath and North East Somerset,LOSTCARD,3,9,14
Bath and North East Somerset,LOSTCARD,4,13,24
Bath and North East Somerset,LOSTCARD,5,22,36.5
Bath and North East Somerset,LOSTCARD,6,3,3.5
Bath and North East Somerset,LOSTCARD,7,7,10.5
Bath and North East Somerset,LOSTCARD,8,26,49
Bath and North East Somerset,LOSTCARD,9,18,34
Bath and North East Somerset,LOSTCARD,10,15,28
Bath and North East Somerset,OVERDUE,1,151,226.70
Bath and North East Somerset,OVERDUE,2,721,1012.90
Bath and North East Somerset,OVERDUE,3,1390,2113.50
Bath and North East Somerset,OVERDUE,4,1360,998.85
Bath and North East Somerset,OVERDUE,5,5080,5766.25
Bath and North East Somerset,OVERDUE,6,1711,1625.35
Bath and North East Somerset,OVERDUE,7,1222,1113.80
Bath and North East Somerset,OVERDUE,8,6268,5781.50
Bath and North East Somerset,OVERDUE,9,5050,4651.80
Bath and North East Somerset,OVERDUE,10,9305,9155.15
Bath and North East Somerset,PROCESSFEE,1,2,2.5
Bath and North East Somerset,PROCESSFEE,2,4,10.0
Bath and North East Somerset,PROCESSFEE,3,2,2.5
