authority,library,reason,number_of_bills,total_billed
Bath and North East Somerset,BNACQ,HOLD,1,1
Bath and North East Somerset,BNACQ,OVERDUE,2,2.6
Bath and North East Somerset,BNBL,BFR,12,37.79
Bath and North East Somerset,BNBL,CHARGE,7848,14088.0
Bath and North East Somerset,BNBL,DAMAGE,19,118.59
Bath and North East Somerset,BNBL,GROUP,27,271
Bath and North East Somerset,BNBL,HOLD,177,1323.5
Bath and North East Somerset,BNBL,ILL,4,23
Bath and North East Somerset,BNBL,LOST,135,919.66
Bath and North East Somerset,BNBL,LOSTCARD,105,194
Bath and North East Somerset,BNBL,OVERDUE,25949,28808.35
Bath and North East Somerset,BNBL,PROCESSFEE,106,194.49
Bath and North East Somerset,BNBL,SALENOVAT,38,278.40
Bath and North East Somerset,BNBL,SALEVAT,131,1665.75
Bath and North East Somerset,BNKY,BFR,297,287.65
Bath and North East Somerset,BNKY,CHARGE,1719,3274.0
Bath and North East Somerset,BNKY,DAMAGE,3,14.39
Bath and North East Somerset,BNKY,HOLD,15,72.5
Bath and North East Somerset,BNKY,ILL,4,32
Bath and North East Somerset,BNKY,LOST,51,256.54
Bath and North East Somerset,BNKY,LOSTCARD,43,84
Bath and North East Somerset,BNKY,OVERDUE,6677,6131.40
Bath and North East Somerset,BNKY,PROCESSFEE,44,35.0
Bath and North East Somerset,BNKY,SALENOVAT,306,513.55
Bath and North East Somerset,BNKY,SALEVAT,1181,1005.78
Bath and North East Somerset,BNMN,BFR,2,2.6
Bath and North East Somerset,BNMN,CHARGE,1227,2310.4
Bath and North East Somerset,BNMN,DAMAGE,2,7.5
Bath and North East Somerset,BNMN,HOLD,76,175.0
Bath and North East Somerset,BNMN,LOST,29,68.06
Bath and North East Somerset,BNMN,LOSTCARD,27,40.5
Bath and North East Somerset,BNMN,OVERDUE,4733,3592.45
Bath and North East Somerset,BNMN,PROCESSFEE,25,42.5
Bath and North East Somerset,BNMN,SALENOVAT,15,48.0
