authority,payment_type,number_of_payments,total_paid
Bath and North East Somerset,CANCEL,4090,9187.51
Bath and North East Somerset,CASH,37803,33337.58
Bath and North East Somerset,CHEQUE,17,180.65
Bath and North East Somerset,CREDITACCT,133,97.75
Bath and North East Somerset,CREDITCARD,14459,22204.86
Bath and North East Somerset,DEBITCARD,14,14.20
Bath and North East Somerset,FORGIVEN,3725,6356.10
Bath and North East Somerset,NONE,23,23.95
Bath and North East Somerset,VOUCH,1,10
Bristol,CANCEL,21251,98700.89
Bristol,CASH,93880,89040.93
Bristol,CHEQUE,194,909.98
Bristol,CREDITACCT,281,159.55
Bristol,CREDITCARD,16178,20472.95
Bristol,DEBITCARD,2832,6153.53
Bristol,FORGIVEN,20244,46998.96
Bristol,NONE,46,143.73
Bristol,VOUCH,1348,1367.30
Dorset,CANCEL,12625,52586.20
Dorset,CASH,69173,105062.76
Dorset,CHEQUE,127,368.49
Dorset,CREDITACCT,1,0.6
Dorset,DEBITCARD,5,22.2
Dorset,FORGIVEN,5615,15520.97
Dorset,NONE,51,94.0
Dorset,VOUCH,21,43.2
North Somerset,AUTOREFUND,14,33
North Somerset,CANCEL,9116,32752.41
North Somerset,CASH,74876,69029.21
North Somerset,CHEQUE,86,1137.28
North Somerset,CREDITACCT,155,76.35
North Somerset,CREDITCARD,48,36.5
North Somerset,DEBITCARD,604,1080.92
North Somerset,FORGIVEN,7533,13100.50
North Somerset,NONE,11,21.7
North Somerset,VOUCH,64,68.0
Poole,CANCEL,3046,7315.68
Poole,CASH,38098,48521.44
Poole,CHEQUE,12,18.0
Poole,CREDITCARD,29,82.5
Poole,DEBITCARD,211,510.15
Poole,FORGIVEN,4653,10554.10
Poole,NONE,26,54.1
Poole,VOUCH,160,267.5
Somerset,CANCEL,14547,37885.94
Somerset,CASH,166420,200457.39
Somerset,CHEQUE,82,324.48
Somerset,CREDITACCT,286,253.05
Somerset,CREDITCARD,1861,3213.88
Somerset,DEBITCARD,13247,21823.67
Somerset,FORGIVEN,11178,17846.73
Somerset,NONE,97,196.10
Somerset,VOUCH,129,188.45
South Gloucestershire,CANCEL,16607,59342.36
South Gloucestershire,CASH,62536,68435.89
South Gloucestershire,CHEQUE,10,402
South Gloucestershire,CREDITACCT,55,31.1
South Gloucestershire,CREDITCARD,9,11.4
South Gloucestershire,DEBITCARD,61,82.25
South Gloucestershire,FORGIVEN,10937,22294.18
South Gloucestershire,NONE,82,141.11
South Gloucestershire,VOUCH,1504,1526.55
