authority,library,payment_type,number_of_payments,total_paid
Bath and North East Somerset,BNBL,CANCEL,2315,5597.69
Bath and North East Somerset,BNBL,CASH,19966,19102.15
Bath and North East Somerset,BNBL,CHEQUE,17,180.65
Bath and North East Somerset,BNBL,CREDITACCT,94,76.50
Bath and North East Somerset,BNBL,CREDITCARD,9826,15678.83
Bath and North East Somerset,BNBL,DEBITCARD,1,1.1
Bath and North East Somerset,BNBL,FORGIVEN,1784,3574.26
Bath and North East Somerset,BNBL,NONE,2,0
Bath and North East Somerset,BNCC,CREDITACCT,1,0.3
Bath and North East Somerset,BNCC,FORGIVEN,17,21.80
Bath and North East Somerset,BNKY,CANCEL,439,773.22
Bath and North East Somerset,BNKY,CASH,6923,5659.50
Bath and North East Somerset,BNKY,CREDITACCT,13,6.15
Bath and North East Somerset,BNKY,CREDITCARD,1985,2991.66
Bath and North East Somerset,BNKY,DEBITCARD,9,11.90
Bath and North East Somerset,BNKY,FORGIVEN,942,1411.45
Bath and North East Somerset,BNKY,NONE,2,1.0
Bath and North East Somerset,BNMN,CANCEL,359,1112.75
Bath and North East Somerset,BNMN,CASH,4405,3415.02
Bath and North East Somerset,BNMN,CREDITACCT,5,1.00
Bath and North East Somerset,BNMN,CREDITCARD,1415,1868.20
Bath and North East Somerset,BNMN,DEBITCARD,3,0.9
Bath and North East Somerset,BNMN,FORGIVEN,267,448.89
Bath and North East Somerset,BNMN,NONE,1,1.8
Bath and North East Somerset,BNMOB,CANCEL,540,943.41
Bath and North East Somerset,BNMOB,CASH,264,397.14
Bath and North East Somerset,BNMOB,CREDITACCT,1,1.8
Bath and North East Somerset,BNMOB,FORGIVEN,126,228.30
Bath and North East Somerset,BNMOO,CANCEL,146,297.20
Bath and North East Somerset,BNMOO,CASH,2032,1613.46
Bath and North East Somerset,BNMOO,CREDITACCT,6,0.95
Bath and North East Somerset,BNMOO,CREDITCARD,410,501.35
Bath and North East Somerset,BNMOO,FORGIVEN,239,284.25
Bath and North East Somerset,BNPAU,CANCEL,54,118.42
Bath and North East Somerset,BNPAU,CASH,871,779.26
Bath and North East Somerset,BNPAU,CREDITCARD,268,573.39
Bath and North East Somerset,BNPAU,FORGIVEN,61,89.70
Bath and North East Somerset,BNPAU,VOUCH,1,10
Bath and North East Somerset,BNRAD,CANCEL,39,47.74
Bath and North East Somerset,BNRAD,CASH,1568,1145.12
Bath and North East Somerset,BNRAD,CREDITACCT,2,0.30
Bath and North East Somerset,BNRAD,CREDITCARD,258,261.32
Bath and North East Somerset,BNRAD,DEBITCARD,1,0.3
Bath and North East Somerset,BNRAD,FORGIVEN,84,80.75
Bath and North East Somerset,BNRAD,NONE,18,21.15
Bath and North East Somerset,BNSAL,CANCEL,62,187.15
Bath and North East Somerset,BNSAL,CASH,444,282.33
Bath and North East Somerset,BNSAL,CREDITACCT,2,0.6
Bath and North East Somerset,BNSAL,CREDITCARD,120,120.85
Bath and North East Somerset,BNSAL,FORGIVEN,70,42.70
Bath and North East Somerset,BNWES,CANCEL,136,109.93
Bath and North East Somerset,BNWES,CASH,1330,943.60
Bath and North East Somerset,BNWES,CREDITACCT,9,10.15
Bath and North East Somerset,BNWES,CREDITCARD,177,209.26
Bath and North East Somerset,BNWES,FORGIVEN,135,174.00
Bristol,BSAL,CANCEL,3487,18292.62
